Timestamp,ERCOT Avg_345kv-Day Ahead,$/MW - Miner Hash Spread,Final Price/TWH
1/1/2017,,,$143.16 
1/2/2017,,,$146.07 
1/3/2017,,,$147.65 
1/4/2017,,,$162.80 
1/5/2017,,,$144.26 
1/6/2017,,,$127.03 
1/7/2017,,,$129.00 
1/8/2017,,,$131.20 
1/9/2017,,,$128.31 
1/10/2017,,,$120.75 
1/11/2017,,,$103.42 
1/12/2017,,,$106.68 
1/13/2017,,,$109.09 
1/14/2017,,,$108.74 
1/15/2017,,,$109.30 
1/16/2017,,,$109.90 
1/17/2017,,,$120.85 
1/18/2017,,,$118.09 
1/19/2017,,,$120.33 
1/20/2017,,,$119.23 
1/21/2017,,,$123.52 
1/22/2017,,,$104.22 
1/23/2017,,,$103.19 
1/24/2017,,,$99.17 
1/25/2017,,,$100.54 
1/26/2017,,,$103.02 
1/27/2017,,,$103.62 
1/28/2017,,,$104.04 
1/29/2017,,,$102.81 
1/30/2017,,,$103.69 
1/31/2017,,,$109.66 
2/1/2017,,,$112.06 
2/2/2017,,,$114.64 
2/3/2017,,,$115.85 
2/4/2017,,,$108.95 
2/5/2017,,,$106.66 
2/6/2017,,,$107.55 
2/7/2017,,,$111.19 
2/8/2017,,,$111.17 
2/9/2017,,,$103.43 
2/10/2017,,,$104.75 
2/11/2017,,,$106.87 
2/12/2017,,,$105.72 
2/13/2017,,,$105.08 
2/14/2017,,,$106.35 
2/15/2017,,,$106.43 
2/16/2017,,,$109.03 
2/17/2017,,,$111.27 
2/18/2017,,,$106.84 
2/19/2017,,,$106.30 
2/20/2017,,,$109.60 
2/21/2017,,,$114.21 
2/22/2017,,,$114.55 
2/23/2017,,,$119.88 
2/24/2017,,,$120.81 
2/25/2017,,,$117.45 
2/26/2017,,,$120.67 
2/27/2017,,,$121.93 
2/28/2017,,,$122.04 
3/1/2017,,,$125.76 
3/2/2017,,,$129.99 
3/3/2017,,,$126.55 
3/4/2017,,,$123.92 
3/5/2017,,,$125.02 
3/6/2017,,,$125.69 
3/7/2017,,,$120.54 
3/8/2017,,,$111.17 
3/9/2017,,,$116.08 
3/10/2017,,,$107.05 
3/11/2017,,,$115.01 
3/12/2017,,,$120.49 
3/13/2017,,,$121.44 
3/14/2017,,,$121.79 
3/15/2017,,,$123.38 
3/16/2017,,,$114.10 
3/17/2017,,,$99.43 
3/18/2017,,,$88.11 
3/19/2017,,,$93.39 
3/20/2017,,,$96.06 
3/21/2017,,,$103.42 
3/22/2017,,,$95.38 
3/23/2017,,,$94.33 
3/24/2017,,,$84.43 
3/25/2017,,,$87.40 
3/26/2017,,,$88.20 
3/27/2017,,,$95.81 
3/28/2017,,,$96.25 
3/29/2017,,,$95.72 
3/30/2017,,,$90.20 
3/31/2017,,,$94.71 
4/1/2017,,,$95.48 
4/2/2017,,,$96.34 
4/3/2017,,,$101.57 
4/4/2017,,,$100.75 
4/5/2017,,,$99.75 
4/6/2017,,,$105.77 
4/7/2017,,,$105.79 
4/8/2017,,,$104.85 
4/9/2017,,,$107.40 
4/10/2017,,,$107.45 
4/11/2017,,,$108.62 
4/12/2017,,,$107.91 
4/13/2017,,,$99.15 
4/14/2017,,,$98.95 
4/15/2017,,,$99.43 
4/16/2017,,,$98.21 
4/17/2017,,,$100.57 
4/18/2017,,,$101.74 
4/19/2017,,,$102.58 
4/20/2017,,,$105.00 
4/21/2017,,,$106.29 
4/22/2017,,,$105.60 
4/23/2017,,,$106.41 
4/24/2017,,,$107.01 
4/25/2017,,,$109.13 
4/26/2017,,,$110.67 
4/27/2017,,,$115.38 
4/28/2017,,,$115.74 
4/29/2017,,,$116.12 
4/30/2017,,,$118.87 
5/1/2017,,,$122.92 
5/2/2017,,,$126.78 
5/3/2017,,,$132.62 
5/4/2017,,,$135.26 
5/5/2017,,,$132.60 
5/6/2017,,,$138.23 
5/7/2017,,,$139.41 
5/8/2017,,,$149.45 
5/9/2017,,,$151.15 
5/10/2017,,,$146.36 
5/11/2017,,,$150.26 
5/12/2017,,,$137.71 
5/13/2017,,,$146.05 
5/14/2017,,,$146.85 
5/15/2017,,,$140.42 
5/16/2017,,,$141.65 
5/17/2017,,,$147.50 
5/18/2017,,,$155.30 
5/19/2017,,,$162.00 
5/20/2017,,,$169.76 
5/21/2017,,,$169.72 
5/22/2017,,,$175.24 
5/23/2017,,,$176.75 
5/24/2017,,,$190.46 
5/25/2017,,,$182.07 
5/26/2017,,,$177.10 
5/27/2017,,,$160.84 
5/28/2017,,,$173.18 
5/29/2017,,,$178.28 
5/30/2017,,,$169.78 
5/31/2017,,,$179.29 
6/1/2017,,,$189.34 
6/2/2017,,,$194.52 
6/3/2017,,,$199.92 
6/4/2017,,,$172.22 
6/5/2017,,,$184.99 
6/6/2017,,,$198.18 
6/7/2017,,,$185.46 
6/8/2017,,,$192.98 
6/9/2017,,,$193.49 
6/10/2017,,,$201.58 
6/11/2017,,,$206.85 
6/12/2017,,,$182.13 
6/13/2017,,,$185.89 
6/14/2017,,,$166.46 
6/15/2017,,,$164.35 
6/16/2017,,,$169.52 
6/17/2017,,,$172.23 
6/18/2017,,,$162.95 
6/19/2017,,,$168.76 
6/20/2017,,,$178.60 
6/21/2017,,,$172.87 
6/22/2017,,,$175.70 
6/23/2017,,,$175.27 
6/24/2017,,,$166.90 
6/25/2017,,,$162.16 
6/26/2017,,,$156.44 
6/27/2017,,,$166.72 
6/28/2017,,,$165.89 
6/29/2017,,,$164.71 
6/30/2017,,,$159.33 
7/1/2017,,,$157.22 
7/2/2017,,,$163.44 
7/3/2017,,,$165.90 
7/4/2017,,,$170.17 
7/5/2017,,,$170.73 
7/6/2017,,,$169.98 
7/7/2017,,,$162.87 
7/8/2017,,,$167.02 
7/9/2017,,,$163.23 
7/10/2017,,,$151.36 
7/11/2017,,,$149.30 
7/12/2017,,,$154.82 
7/13/2017,,,$151.44 
7/14/2017,,,$124.24 
7/15/2017,,,$108.81 
7/16/2017,,,$105.34 
7/17/2017,,,$124.79 
7/18/2017,,,$129.63 
7/19/2017,,,$127.00 
7/20/2017,,,$162.72 
7/21/2017,,,$152.23 
7/22/2017,,,$162.21 
7/23/2017,,,$157.74 
7/24/2017,,,$158.03 
7/25/2017,,,$145.65 
7/26/2017,,,$143.28 
7/27/2017,,,$141.16 
7/28/2017,,,$148.29 
7/29/2017,,,$143.31 
7/30/2017,,,$145.31 
7/31/2017,,,$152.74 
8/1/2017,,,$145.16 
8/2/2017,,,$143.41 
8/3/2017,,,$148.47 
8/4/2017,,,$152.40 
8/5/2017,,,$175.18 
8/6/2017,,,$173.56 
8/7/2017,,,$183.75 
8/8/2017,,,$185.14 
8/9/2017,,,$167.44 
8/10/2017,,,$172.33 
8/11/2017,,,$184.24 
8/12/2017,,,$196.28 
8/13/2017,,,$206.12 
8/14/2017,,,$220.56 
8/15/2017,,,$211.70 
8/16/2017,,,$223.28 
8/17/2017,,,$218.24 
8/18/2017,,,$208.72 
8/19/2017,,,$210.49 
8/20/2017,,,$205.70 
8/21/2017,,,$202.76 
8/22/2017,,,$207.95 
8/23/2017,,,$210.07 
8/24/2017,,,$229.14 
8/25/2017,,,$231.83 
8/26/2017,,,$230.80 
8/27/2017,,,$231.04 
8/28/2017,,,$233.36 
8/29/2017,,,$245.04 
8/30/2017,,,$244.27 
8/31/2017,,,$253.38 
9/1/2017,,,$264.15 
9/2/2017,,,$247.50 
9/3/2017,,,$246.85 
9/4/2017,,,$230.88 
9/5/2017,,,$235.73 
9/6/2017,,,$236.37 
9/7/2017,,,$236.98 
9/8/2017,,,$221.76 
9/9/2017,,,$221.17 
9/10/2017,,,$216.80 
9/11/2017,,,$214.49 
9/12/2017,,,$211.79 
9/13/2017,,,$196.06 
9/14/2017,,,$162.05 
9/15/2017,,,$187.56 
9/16/2017,,,$187.60 
9/17/2017,,,$187.14 
9/18/2017,,,$171.99 
9/19/2017,,,$163.67 
9/20/2017,,,$161.80 
9/21/2017,,,$150.36 
9/22/2017,,,$150.28 
9/23/2017,,,$157.81 
9/24/2017,,,$152.65 
9/25/2017,,,$164.02 
9/26/2017,,,$162.54 
9/27/2017,,,$176.77 
9/28/2017,,,$176.21 
9/29/2017,,,$174.81 
9/30/2017,,,$182.92 
10/1/2017,,,$181.45 
10/2/2017,,,$181.85 
10/3/2017,,,$178.27 
10/4/2017,,,$173.98 
10/5/2017,,,$178.54 
10/6/2017,,,$180.57 
10/7/2017,,,$183.43 
10/8/2017,,,$191.10 
10/9/2017,,,$198.73 
10/10/2017,,,$197.46 
10/11/2017,,,$200.79 
10/12/2017,,,$227.70 
10/13/2017,,,$236.66 
10/14/2017,,,$244.85 
10/15/2017,,,$224.25 
10/16/2017,,,$226.80 
10/17/2017,,,$220.20 
10/18/2017,,,$219.39 
10/19/2017,,,$224.68 
10/20/2017,,,$237.09 
10/21/2017,,,$237.85 
10/22/2017,,,$237.15 
10/23/2017,,,$232.58 
10/24/2017,,,$217.07 
10/25/2017,,,$226.52 
10/26/2017,,,$189.20 
10/27/2017,,,$185.34 
10/28/2017,,,$184.45 
10/29/2017,,,$198.16 
10/30/2017,,,$197.19 
10/31/2017,,,$208.17 
11/1/2017,,,$219.32 
11/2/2017,,,$228.53 
11/3/2017,,,$233.92 
11/4/2017,,,$240.91 
11/5/2017,,,$240.88 
11/6/2017,,,$226.05 
11/7/2017,,,$231.69 
11/8/2017,,,$243.58 
11/9/2017,,,$232.09 
11/10/2017,,,$228.05 
11/11/2017,,,$219.63 
11/12/2017,,,$203.05 
11/13/2017,,,$225.65 
11/14/2017,,,$228.21 
11/15/2017,,,$253.40 
11/16/2017,,,$274.07 
11/17/2017,,,$268.42 
11/18/2017,,,$271.69 
11/19/2017,,,$280.97 
11/20/2017,,,$289.13 
11/21/2017,,,$283.29 
11/22/2017,,,$288.73 
11/23/2017,,,$281.06 
11/24/2017,,,$291.54 
11/25/2017,,,$312.22 
11/26/2017,,,$333.67 
11/27/2017,,,$348.74 
11/28/2017,,,$355.14 
11/29/2017,,,$352.80 
11/30/2017,,,$356.15 
12/1/2017,,,$389.93 
12/2/2017,,,$392.19 
12/3/2017,,,$405.65 
12/4/2017,,,$418.26 
12/5/2017,,,$421.18 
12/6/2017,,,$424.23 
12/7/2017,,,$525.69 
12/8/2017,,,$497.28 
12/9/2017,,,$460.29 
12/10/2017,,,$459.79 
12/11/2017,,,$514.22 
12/12/2017,,,$528.07 
12/13/2017,,,$506.21 
12/14/2017,,,$508.81 
12/15/2017,,,$541.42 
12/16/2017,,,$602.57 
12/17/2017,,,$589.74 
12/18/2017,,,$494.20 
12/19/2017,,,$460.27 
12/20/2017,,,$426.03 
12/21/2017,,,$404.53 
12/22/2017,,,$364.15 
12/23/2017,,,$381.78 
12/24/2017,,,$364.95 
12/25/2017,,,$362.34 
12/26/2017,,,$407.45 
12/27/2017,,,$397.33 
12/28/2017,,,$372.59 
12/29/2017,,,$373.40 
12/30/2017,,,$326.81 
12/31/2017,,,$357.62 
1/1/2018,$41.21 ,"$2,328.11 ",$334.53 
1/2/2018,$67.25 ,"$2,294.51 ",$368.13 
1/3/2018,$55.48 ,"$2,575.56 ",$376.84 
1/4/2018,$51.10 ,"$2,420.98 ",$378.95 
1/5/2018,$35.39 ,"$3,210.08 ",$425.09 
1/6/2018,$22.39 ,"$2,766.90 ",$429.34 
1/7/2018,$16.69 ,"$2,718.32 ",$405.20 
1/8/2018,$22.95 ,"$2,453.84 ",$375.02 
1/9/2018,$19.79 ,"$2,389.79 ",$359.91 
1/10/2018,$17.87 ,"$2,434.49 ",$371.18 
1/11/2018,$19.59 ,"$1,871.03 ",$331.27 
1/12/2018,$28.35 ,"$2,096.60 ",$343.90 
1/13/2018,$32.45 ,"$2,323.53 ",$305.72 
1/14/2018,$27.83 ,"$2,065.57 ",$293.06 
1/15/2018,$25.10 ,"$2,125.34 ",$291.25 
1/16/2018,$59.79 ,"$1,653.98 ",$243.90 
1/17/2018,$226.57 ,"$1,358.06 ",$236.47 
1/18/2018,$73.34 ,"$1,477.27 ",$239.90 
1/19/2018,$27.80 ,"$1,629.94 ",$244.88 
1/20/2018,$21.84 ,"$1,682.06 ",$273.03 
1/21/2018,$18.09 ,"$1,437.56 ",$243.63 
1/22/2018,$24.41 ,"$1,509.64 ",$228.48 
1/23/2018,$27.44 ,"$1,422.60 ",$228.93 
1/24/2018,$27.92 ,"$1,505.04 ",$241.36 
1/25/2018,$23.93 ,"$1,485.41 ",$200.42 
1/26/2018,$23.52 ,"$1,431.71 ",$199.52 
1/27/2018,$27.99 ,"$1,440.07 ",$204.18 
1/28/2018,$29.00 ,"$1,463.71 ",$209.25 
1/29/2018,$30.93 ,"$1,501.12 ",$200.64 
1/30/2018,$23.24 ,"$1,186.95 ",$177.34 
1/31/2018,$21.72 ,"$1,731.72 ",$180.22 
2/1/2018,$22.51 ,"$1,123.22 ",$159.58 
2/2/2018,$23.86 ,"$1,041.30 ",$155.44 
2/3/2018,$19.53 ,"$1,165.73 ",$163.32 
2/4/2018,$20.94 ,$913.24 ,$143.47 
2/5/2018,$21.44 ,$736.18 ,$118.77 
2/6/2018,$23.08 ,$895.27 ,$120.57 
2/7/2018,$25.25 ,$964.17 ,$118.15 
2/8/2018,$25.21 ,"$1,130.71 ",$129.42 
2/9/2018,$20.02 ,"$1,163.74 ",$137.35 
2/10/2018,$21.77 ,"$1,077.67 ",$134.90 
2/11/2018,$25.36 ,$959.23 ,$126.82 
2/12/2018,$28.03 ,$957.45 ,$140.92 
2/13/2018,$24.87 ,$931.74 ,$134.58 
2/14/2018,$19.06 ,$956.59 ,$151.37 
